"b_b_Intercept","b_trL_Intercept","b_trL_anom","r_year__b[2021,Intercept]","r_year__b[2022,Intercept]","r_year__b[2023,Intercept]"
0.575498380161065,0.275423033075547,0.415735335725768,-0.00508498270494914,-0.00943753183512088,0.00668393480005655
0.844087346384044,0.190804606844491,0.147582321777051,0.0141862998184155,-0.0446717113545416,0.00488059990728795
1.09874214643265,0.155824754610476,0.497233536900487,-0.0156033166557043,-0.0107798527007365,-0.0163968918415439
0.977753776456971,0.187389099979482,0.613498697702782,-0.129815475038636,-0.0925758528236797,-0.0676289145671856
0.769627319493026,0.224387107509344,0.464368268593877,0.0119372647349983,-0.00551135721154061,-0.00292833117458505
0.874368929772917,0.177091700680603,0.390578727912327,0.0113659049118774,-0.0305457125430779,0.00915222002487925
0.950823970868287,0.162583425585406,0.563360124839618,0.0681196622188333,0.0703784876220317,0.0526881690191407
0.942573636669042,0.178348443581325,0.442900126988299,-0.0566141344107666,0.00115571310382542,0.00218686925598558
0.858368037570762,0.180224765721928,0.334566992998234,0.0835031077095319,-0.0185432509743456,0.0874622080829903
0.988057314760221,0.20394668080215,0.424676236605681,-0.067598210702139,-0.156190029908121,-0.177932132032784
0.902302998832095,0.206047859758192,0.53404372229824,0.0206278629365885,-0.0425881950376107,0.0262198682437879
0.984499688582738,0.149383166102737,0.508012872233646,-0.033144296996267,-0.0314147664683198,0.0377036884143741
0.803307177278343,0.22113933324241,0.500415033528066,-0.0131508346685673,0.0164366357746764,-0.0147674435638954
0.86085490569421,0.177285012104408,0.261841968444055,-0.0316899022475083,0.0117060144217495,-0.0464546305119075
0.892767844781215,0.179975604155955,0.454222702194914,0.0161671054121843,-0.000282752548433055,0.056182373878615
0.903775010321908,0.154558187518792,0.00699360593684835,0.391479696045298,-0.0365744153165341,-0.0164134329305557
0.808031611550932,0.188941572965278,0.388835155662939,0.0353809686553626,0.00847857413719262,0.0654927140816432
0.781676077030907,0.227511686047611,0.642436448396692,-0.0240006458971545,0.024255901655601,-0.00360772363568203
0.862387158331339,0.191561456419771,0.52076216648592,-0.0120059345425937,0.0158281354645502,0.055387723635001
0.888930172878899,0.179604833504031,0.114094105999343,0.107892956702661,-0.0325859344733216,-0.0322363642913137
0.900871832649435,0.192672715428083,0.630401864934366,0.00247966733758196,-0.000510780295235035,0.00232438472455633
0.778224232103358,0.213277292663726,0.408764114778439,-0.00608907222825486,0.00441172292430027,0.000150075400634189
0.938733470392458,0.180370006629721,0.450365511558558,0.0265988725356577,-0.0276927111374387,-0.00370304220045382
0.591564051341233,0.223097826779396,0.421151308739461,0.190564823619323,0.00496964866383906,0.130562274765877
0.732305237146691,0.215440388173171,0.567875667659714,-0.00645640759629529,0.0429123463357239,-0.0280480045318566
0.711236161313562,0.200452643801373,0.145695811710578,0.394913946668157,0.0013390502042614,-0.0426538399710219
1.03020317255271,0.164315835022225,0.602346313880097,0.0106359872700013,0.00131949226354705,-0.00877763203786238
0.740941998845079,0.215713201801869,0.556344748852783,0.00954559539972648,0.00332109174817805,-0.00789939027003242
0.837874756361216,0.22956899188755,0.318314067267703,0.0602489494277336,-0.0626351159857122,-0.125881880134448
0.940066169940131,0.175826242851508,0.198203169051749,0.133563196922519,-0.053038974640171,-0.0422330556445426
0.721174020726234,0.179675090359989,0.517002462682612,0.230007645330673,0.172068941785233,0.112572173059917
0.924597876295659,0.183559663938237,0.570735413799129,-0.00485293960875324,-0.0154053676348877,0.0137763126496624
0.853165418980107,0.200410543729619,0.312041794572997,0.00058315208921177,-0.000524702250217191,-0.00528654567706526
0.70730202309096,0.216258277561051,0.31357985957121,0.0918109384937287,-0.0138044726794768,0.0534698653661305
0.670118948523478,0.219728032359678,0.485765061409738,0.105701307772223,0.0479240902147142,0.0317120913825682
0.978091078756065,0.184628759530612,0.405043378770166,-0.0410017565301913,-0.0844478907057269,0.0524085679586572
0.764986262987854,0.192438262399713,0.1031113549196,0.334012498515824,-0.128295649175547,0.109297079267931
0.893527230121762,0.206449559781784,0.506110077030503,-0.0733297016276017,-0.0015977245497026,-0.140105643623822
0.875733413920333,0.208960301333405,0.502436554590612,-0.0254111643864685,-0.0624334452885382,-0.00911161451957277
0.926084391419163,0.184425980741159,0.586228584803497,-0.0520564269688225,0.0681446098128187,-0.0341243134493104
1.0318308633296,0.148992717895435,0.548372026433099,-0.0519625716203656,-0.0271401659966318,-0.00261142598583715
0.86007898670076,0.195563524988162,0.663509649763105,0.012341088640923,-0.0535730001856996,-0.00719044070657737
0.89280144001104,0.194490580569699,0.355882067918184,-0.0248825633140197,-0.00332858091986703,-0.0164700264919429
1.04988737774183,0.168126700546354,0.509498224519393,-0.0155798225778476,0.00400996326073717,-0.00404043293145655
